,approved,approved_date,artist,audio_unavailable,beatmap_id,beatmapset_id,bpm,count_normal,count_slider,count_spinner,creator,creator_id,diff_aim,diff_approach,diff_drain,diff_overall,diff_size,diff_speed,difficultyrating,download_unavailable,favourite_count,file_md5,genre_id,hit_length,language_id,last_update,max_combo,mode,passcount,playcount,rating,source,submit_date,tags,title,total_length,version
61,1,2009-06-27 14:23:26,Cranky,0,31692,7205,159,100,85,8,avira0922,7114,1.77155,4,2,4,5,1.63686,3.47575,0,37,292880ec4f414fe96c5d68558aab2f0e,10,80,2,2009-06-27 14:13:55,332,0,8548,28928,8.75037,,2009-05-26 07:35:01,,"Party 4u ""Holy Nite Mix""",100,Hyper
62,1,2009-06-27 14:23:26,Cranky,0,31412,7205,159,212,88,10,avira0922,7114,1.85792,7,6,7,5,2.067,4.02946,0,37,8d6c02ec376f351a209a5622066fbfb6,10,87,2,2009-06-27 14:13:55,441,0,3119,23550,8.75037,,2009-05-26 07:35:01,,"Party 4u ""Holy Nite Mix""",100,Another
63,1,2009-06-27 14:23:26,Cranky,0,31279,7205,159,316,70,7,avira0922,7114,2.51817,8,6,8,5,2.38877,4.97164,0,37,9f99d196b026525f086d11c73abb4c2f,10,85,2,2009-06-27 14:13:55,503,0,7958,55551,8.75037,,2009-05-26 07:35:01,,"Party 4u ""Holy Nite Mix""",100,Max
64,1,2011-12-03 20:14:18,cranky,0,115940,31367,190,51,49,3,taka1235,73453,0.767799,3,3,3,3,0.666138,1.48477,0,87,4e6e25999da8dd03f5b755c9bbee1304,10,110,5,2011-11-12 14:09:42,242,0,5118,14286,9.22846,,2011-06-05 13:18:08,alace pangko,R176,128,Beginner
65,1,2011-12-03 20:14:18,cranky,0,104959,31367,190,117,67,2,taka1235,73453,1.08407,5,4,4,3,1.03663,2.14442,0,87,a94ddab5304d48155d74cc22c2bd3713,10,114,5,2011-11-12 14:09:42,347,0,13181,30033,9.22846,,2011-06-05 13:18:08,alace pangko,R176,128,Standard
66,1,2011-12-03 20:14:18,cranky,0,109620,31367,190,289,133,6,taka1235,73453,2.0336,8,5,6,4,2.07392,4.12767,0,87,cb8b88f32a24f5b083f7d6631bd3332f,10,127,5,2011-11-12 14:09:42,579,0,28217,115524,9.22846,,2011-06-05 13:18:08,alace pangko,R176,128,Hyper
67,1,2011-12-03 20:14:18,cranky,0,103102,31367,190,387,128,2,taka1235,73453,2.68028,9,8,8,5,2.46517,5.253,0,87,d568436fd559669af618cda117416452,10,124,5,2011-11-12 14:09:42,733,0,41223,201457,9.22846,,2011-06-05 13:18:08,alace pangko,R176,128,Another
68,1,2018-05-13 17:00:07,Cranky,0,1582584,751772,170,64,89,1,pishifat,3178418,0.937014,3,3,2,3,0.880414,1.84573,0,68,fb3ba56eceda283918d244f9a631e050,10,114,5,2018-05-05 21:49:37,308,0,9927,18639,9.05028,,2018-03-20 20:04:49,record5-speed mao hiroshi watanabe featured artist luan,Ran,182,Easy
69,1,2018-05-13 17:00:07,Cranky,0,1582588,751772,170,85,151,1,pishifat,3178418,1.22576,5,5,5,4,1.09579,2.38653,0,68,d895d3c5711e9b145b68d72120d49538,10,112,5,2018-05-05 21:49:37,425,0,3204,17514,9.05028,,2018-03-20 20:04:49,record5-speed mao hiroshi watanabe featured artist luan,Ran,182,Mao's Normal
70,1,2018-05-13 17:00:07,Cranky,0,1582586,751772,170,182,209,2,pishifat,3178418,1.7201,8,6,6.5,4,1.86893,3.66344,0,68,7e879e0e8219ad0afccba205e6c785df,10,120,5,2018-05-05 21:49:37,710,0,4392,16623,9.05028,,2018-03-20 20:04:49,record5-speed mao hiroshi watanabe featured artist luan,Ran,182,Hard
71,1,2018-05-13 17:00:07,Cranky,0,1582587,751772,170,333,207,1,pishifat,3178418,2.33293,9,6,8,4.2,2.23754,4.61816,0,68,c66c6c87beb75d02d04b008f23554b38,10,121,5,2018-05-05 21:49:37,867,0,3906,21177,9.05028,,2018-03-20 20:04:49,record5-speed mao hiroshi watanabe featured artist luan,Ran,182,Insane
