,beatmapset_id,beatmap_id,approved,total_length,hit_length,version,file_md5,diff_size,diff_overall,diff_approach,diff_drain,mode,count_normal,count_slider,count_spinner,submit_date,approved_date,last_update,artist,title,creator,creator_id,bpm,source,tags,genre_id,language_id,favourite_count,rating,download_unavailable,audio_unavailable,playcount,passcount,max_combo,diff_aim,diff_speed,difficultyrating
26,29886,100023,1,201,182,Insane,eede4ed84ecba3ba250a440856539c0a,4,7,8,8,0,375,207,5,2011-05-06 12:58:29,2012-06-06 12:47:31,2012-06-06 12:43:09,07th Expansion,dreamenddischarger,Regou,419954,140,Umineko no Naku Koro ni,evil_twilight wmfchris when they cry zts,2,5,56,9.33145,0,0,66147,10079,857,2.108440637588501,1.926156759262085,4.125739574432373
27,32201,105891,2,302,296,Collab,b7b61b0f6b7f8e4a1c1cd9f57b2e01b2,4,7,8,7,0,483,398,2,2011-06-22 16:37:40,2011-08-03 09:39:10,2011-08-03 08:59:45,07th Expansion,dreamenddischarger,Natteke,157177,140,Umineko no Naku Koro ni,la cataline glass mmzz zts,2,5,84,9.61029,0,0,147590,23068,1350,1.8256888389587402,1.946681261062622,3.8328664302825928
28,36595,173522,1,201,180,Normal,b8b4688c1d8bcb2ab5d33778069680d3,4,3,4,3,0,119,114,4,2011-09-16 08:06:39,2012-10-28 09:34:47,2012-10-28 09:12:30,07th Expansion,dreamenddischarger,Heatherfield,296087,140,Umineko no Naku Koro ni,when they cry zts yuka baca y_u_c_a aiaiclala,2,5,130,9.32963,0,0,52633,21970,568,1.0364469289779663,0.9293067455291748,2.0193238258361816
29,36595,177713,1,201,201,yuca,dee9d500d0fffc8583e0050ccfe16ca1,4,5,7,5,0,259,207,2,2011-09-16 08:06:39,2012-10-28 09:34:47,2012-10-28 09:12:30,07th Expansion,dreamenddischarger,Heatherfield,296087,140,Umineko no Naku Koro ni,when they cry zts yuka baca y_u_c_a aiaiclala,2,5,130,9.32963,0,0,92025,23683,879,1.8278127908706665,1.7034409046173096,3.5934395790100098
30,36595,169393,1,201,188,Dream End,c3cae993d2ddacc89d5d694f000f6006,4,7,8,7,0,499,210,1,2011-09-16 08:06:39,2012-10-28 09:34:47,2012-10-28 09:12:30,07th Expansion,dreamenddischarger,Heatherfield,296087,140,Umineko no Naku Koro ni,when they cry zts yuka baca y_u_c_a aiaiclala,2,5,130,9.32963,0,0,140757,23980,936,2.3784475326538086,2.175999164581299,4.655670642852783
31,38235,124321,2,228,191,Collapse,f9e18a5b5f9cc08956a7901a2f616c06,4,7,8,7,0,578,253,0,2011-10-16 19:23:58,2011-12-27 19:54:12,2011-12-27 18:55:54,07th Expansion,Eiji Kuinbii,Natteke,157177,153,Umineko no Naku Koro ni,when they cry ep6 -45,2,5,325,9.60147,0,0,1138590,116561,1180,2.0484156608581543,2.357642412185669,4.560671329498291
32,26226,88631,1,120,111,Easy,e34b21b5e5833b5016d520e79026809e,3,1,1,2,0,70,63,3,2011-02-16 18:14:21,2011-03-02 20:24:53,2011-03-02 20:21:55,07th Expansion,Final Answer,gowww,119404,180,Umineko no Naku Koro ni,dai,2,5,249,9.4005,0,0,67512,32614,263,0.7535353899002075,0.7070012092590332,1.4838037490844727
33,26226,88634,1,120,111,Normal,15d6a0b412407cb9bc1331acc282e89e,3,3,3,2,0,68,94,3,2011-02-16 18:14:21,2011-03-02 20:24:53,2011-03-02 20:21:55,07th Expansion,Final Answer,gowww,119404,180,Umineko no Naku Koro ni,dai,2,5,249,9.4005,0,0,183377,83190,362,1.0869709253311157,1.105851173400879,2.2022621631622314
34,26226,88632,1,121,112,Hard,f767caec740c3cf1a543a25cf6351328,4,7,7,5,0,201,128,3,2011-02-16 18:14:21,2011-03-02 20:24:53,2011-03-02 20:21:55,07th Expansion,Final Answer,gowww,119404,180,Umineko no Naku Koro ni,dai,2,5,249,9.4005,0,0,363498,79129,553,1.7402273416519165,2.1824769973754883,4.143829345703125
35,26226,88633,1,190,172,Insane,6d6ba20c90562381c1d89465e2c3394f,4,8,8,6,0,495,146,4,2011-02-16 18:14:21,2011-03-02 20:24:53,2011-03-02 20:21:55,07th Expansion,Final Answer,gowww,119404,180,Umineko no Naku Koro ni,dai,2,5,249,9.4005,0,0,525471,80150,893,2.237016201019287,2.4418320655822754,4.781256198883057
36,36272,117232,2,201,194,Question,5873551cd36264f1e0758c7008e0f2b6,4,8,9,7,0,643,283,0,2011-09-08 04:20:26,2011-11-22 04:34:56,2011-11-16 20:35:19,07th Expansion,Final Answer,Shiirn,465126,180,Umineko no Naku Koro ni Chiru,dai onosakihito,2,5,110,8.91771,0,0,292234,43395,1373,2.4876797199249268,2.515393018722534,5.0169291496276855
37,37729,130917,1,222,179,Normal,386b9cf94dbeca0f3491e748397d3711,3,3,4,3,0,122,103,3,2011-10-07 16:18:53,2012-03-21 18:24:44,2012-03-21 18:09:48,07th Expansion,goldenslaughterer,La Cataline,301279,133,Umineko no Naku Koro ni,when they cry zts visual novel alace alazy,2,5,117,9.38499,0,0,26747,13028,497,0.862855851650238,0.8466925024986267,1.7176300287246704
38,37729,131495,1,222,180,Light,dedbc886e119b75728d239e646eb17fa,4,6,7,5,0,207,230,0,2011-10-07 16:18:53,2012-03-21 18:24:44,2012-03-21 18:09:48,07th Expansion,goldenslaughterer,La Cataline,301279,133,Umineko no Naku Koro ni,when they cry zts visual novel alace alazy,2,5,117,9.38499,0,0,60509,14804,731,1.4361923933029175,1.4885938167572021,2.950986862182617
39,37729,121197,1,222,182,Hard,2757d97c84846e35cac0ca5c5322a24f,4,7,8,6,0,366,250,3,2011-10-07 16:18:53,2012-03-21 18:24:44,2012-03-21 18:09:48,07th Expansion,goldenslaughterer,La Cataline,301279,133,Umineko no Naku Koro ni,when they cry zts visual novel alace alazy,2,5,117,9.38499,0,0,151376,28223,912,1.8101433515548706,1.9843164682388306,3.8815464973449707
40,34909,114123,1,92,91,fanzhen's Easy,d78d7705c021d44e4647fdb6cff8ba83,3,2,4,2,0,31,57,0,2011-08-12 17:37:27,2011-09-30 02:56:08,2011-09-20 07:36:48,07th Expansion,HANE,Kanon,109249,131,Umineko no Naku Koro Ni,selee nymph_ when they cry fanzhen0019 dai feathers,2,5,96,9.41817,0,0,36693,18382,292,0.7067878246307373,0.6297962069511414,1.375079870223999
41,34909,114124,1,92,91,Nymph's Normal,e0c187c5d8087d186c4a4cd2de6b1916,4,4,5,3,0,43,92,1,2011-08-12 17:37:27,2011-09-30 02:56:08,2011-09-20 07:36:48,07th Expansion,HANE,Kanon,109249,131,Umineko no Naku Koro Ni,selee nymph_ when they cry fanzhen0019 dai feathers,2,5,96,9.41817,0,0,58036,25533,268,0.9665208458900452,0.9292539358139038,1.9144082069396973
